D;G;C;SC;P;CCIF;GLOSA
01;0;0;00;00;01.0.0.00.00;ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS
01;1;0;00;00;01.1.0.00.00;ALIMENTOS
01;1;1;00;00;01.1.1.00.00;PAN Y CEREALES
01;1;1;01;00;01.1.1.01.00;ARROZ DE TODOS LOS TIPOS
01;1;1;01;01;01.1.1.01.01;ARROZ
01;1;1;02;00;01.1.1.02.00;PAN DE TODOS LOS TIPOS
01;1;1;02;01;01.1.1.02.01;PAN CORRIENTE A GRANEL
01;1;1;02;02;01.1.1.02.02;PAN ENVASADO
01;1;1;02;03;01.1.1.02.03;PAN ESPECIAL A GRANEL
01;1;1;02;04;01.1.1.02.04;OTROS TIPOS DE PANES N.C.P.
01;1;1;03;00;01.1.1.03.00;PASTAS SIN COCER DE TODOS LOS TIPOS
01;1;1;03;01;01.1.1.03.01;SPAGHETTI
01;1;1;03;02;01.1.1.03.02;ESPIRALES
01;1;1;03;03;01.1.1.03.03;CORBATAS
01;1;1;03;04;01.1.1.03.04;CABELLO DE ÁNGEL
01;1;1;03;05;01.1.1.03.05;PASTAS SECAS SIN RELLENO NO IDENTIFICADAS Y DE OTRO TIPO N.C.P.
01;1;1;03;06;01.1.1.03.06;PASTAS SECAS DE TODOS LOS TIPOS, CON RELLENO
01;1;1;03;07;01.1.1.03.07;PASTAS FRESCAS DE TODOS LOS TIPOS (CON O SIN RELLENO) O PREPARADA DE OTRA FORMA
01;1;1;04;00;01.1.1.04.00;MASAS DULCES, SALADAS Y OTROS PRODUCTOS DE PANADERÍA
01;1;1;04;01;01.1.1.04.01;GALLETA DULCE CON RELLENO
01;1;1;04;02;01.1.1.04.02;GALLETA DULCE SIN RELLENO
01;1;1;04;03;01.1.1.04.03;GALLETAS NO DULCES
01;1;1;04;04;01.1.1.04.04;GALLETAS NO IDENTIFICADAS Y DE OTRO TIPO
01;1;1;04;05;01.1.1.04.05;TORTAS Y MASAS DULCES GRANDES
01;1;1;04;06;01.1.1.04.06;PASTELES Y MASAS DULCES PEQUEÑAS O POR POCIÓN
01;1;1;04;07;01.1.1.04.07;MASAS DULCES PARA COCINAR Y MEZCLAS PARA REPOSTERÍA
01;1;1;04;08;01.1.1.04.08;PIZZAS CON INGREDIENTES LISTAS PARA HORNEAR
01;1;1;04;09;01.1.1.04.09;EMPANADAS SALADAS RELLENAS O CON AGREGADOS PARA COCINAR
01;1;1;04;10;01.1.1.04.10;MASAS SALADAS RELLENAS O CON INGREDIENTES PARA FREÍR U HORNEAR NO IDENTIFICADAS Y DE OTRO TIPO N.C.P.
01;1;1;04;11;01.1.1.04.11;PREPIZZA
